Trigger_Ticks,Stall_Sec,Tighten_SL_Ticks,Breakeven_Trigger_Ticks,Net_PnL_USDT,Profit_Factor,Win_Rate_Pct,Scratch_Rate_Pct,Shakeout_Rate_Pct,Max_DD_Pct,Gross_Profit_USDT,Gross_Loss_USDT,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Scratch_Trades,Shakeout_Trades
1.5,15.0,0.5,4.0,3.5891,1.36,28.27,2.2,2.95,0.016,13.515,9.9259,31.72,294.04,342.35,47812,13515,33244,1053,1410
1.5,10.0,1.0,3.5,3.8812,1.38,29.68,7.45,1.54,0.015,14.189,10.3078,31.49,293.34,377.64,47812,14189,30059,3564,736
1.0,30.0,0.5,2.5,3.8588,1.38,29.36,16.02,1.85,0.017,14.039,10.1802,31.01,288.59,342.33,47812,14039,26115,7658,886
1.5,20.0,0.5,3.0,3.8752,1.39,28.87,12.3,2.34,0.017,13.805,9.9298,31.71,288.49,352.03,47812,13805,28126,5881,1120
2.0,20.0,0.5,3.0,3.8362,1.38,29.17,12.3,2.04,0.017,13.949,10.1128,31.29,287.87,348.48,47812,13949,27982,5881,976
1.0,15.0,1.0,3.5,3.9586,1.38,29.99,7.45,1.22,0.016,14.341,10.3824,31.76,287.16,366.73,47812,14341,29907,3564,584
1.5,10.0,0.5,3.5,3.5104,1.37,27.34,7.45,3.88,0.016,13.072,9.5616,31.4,281.57,334.6,47812,13072,31176,3564,1853
2.5,20.0,1.0,3.0,4.0664,1.38,30.61,12.3,0.61,0.017,14.635,10.5686,30.69,277.23,363.54,47812,14635,27296,5881,290
1.0,15.0,0.5,4.0,3.445,1.35,27.99,2.2,3.22,0.016,13.384,9.939,30.53,272.07,328.48,47812,13384,33375,1053,1541
2.0,15.0,0.5,3.5,3.6614,1.37,28.61,7.45,2.6,0.016,13.68,10.0186,31.13,268.15,342.82,47812,13680,30568,3564,1245
1.0,10.0,1.0,4.0,3.5482,1.34,29.54,2.2,1.68,0.015,14.122,10.5738,30.16,267.92,349.29,47812,14122,32637,1053,803
2.5,15.0,1.0,3.0,4.0148,1.38,30.41,12.3,0.81,0.017,14.539,10.5242,30.7,266.58,361.7,47812,14539,27392,5881,386
2.5,30.0,1.0,3.0,4.0912,1.38,30.81,12.3,0.4,0.017,14.733,10.6418,30.35,264.53,357.46,47812,14733,27198,5881,192
2.0,10.0,0.5,2.5,3.5912,1.37,27.7,16.02,3.52,0.016,13.244,9.6528,31.07,263.15,340.22,47812,13244,26910,7658,1681
1.0,20.0,0.5,3.0,3.7377,1.38,28.61,12.3,2.6,0.017,13.68,9.9423,31.02,261.91,339.46,47812,13680,28251,5881,1245
2.0,30.0,1.0,3.0,4.036,1.38,30.72,12.3,0.5,0.017,14.687,10.651,30.32,259.24,352.53,47812,14687,27244,5881,238
1.5,30.0,1.0,3.0,3.9904,1.37,30.64,12.3,0.58,0.017,14.649,10.6586,30.1,255.41,348.48,47812,14649,27282,5881,276
2.0,15.0,1.0,3.5,3.8804,1.37,30.28,7.45,0.94,0.017,14.476,10.5956,30.97,255.01,346.77,47812,14476,29772,3564,449
2.5,45.0,1.0,3.0,4.0502,1.38,30.96,12.3,0.26,0.017,14.803,10.7528,29.81,254.94,349.79,47812,14803,27128,5881,122
2.0,45.0,1.0,3.0,4.019,1.37,30.91,12.3,0.31,0.017,14.777,10.758,29.75,252.97,347.06,47812,14777,27154,5881,148
1.5,45.0,1.0,3.0,3.9902,1.37,30.86,12.3,0.36,0.017,14.753,10.7628,29.76,251.04,344.53,47812,14753,27178,5881,172
1.5,20.0,0.5,3.5,3.6435,1.36,28.87,7.45,2.34,0.017,13.805,10.1615,30.37,250.87,328.9,47812,13805,30443,3564,1120
2.5,15.0,0.5,2.5,3.6421,1.36,28.95,16.02,2.27,0.017,13.842,10.1999,29.93,250.72,322.98,47812,13842,26312,7658,1083
1.0,30.0,1.0,3.0,3.9484,1.37,30.57,12.3,0.65,0.017,14.614,10.6656,29.93,249.96,344.75,47812,14614,27317,5881,311
2.0,20.0,0.5,3.5,3.6045,1.35,29.17,7.45,2.04,0.017,13.949,10.3445,29.93,249.62,325.38,47812,13949,30299,3564,976
2.5,60.0,1.0,3.0,4.0362,1.37,31.07,12.3,0.15,0.018,14.853,10.8168,29.57,249.29,337.9,47812,14853,27078,5881,72
2.0,60.0,1.0,3.0,3.999,1.37,31.0,12.3,0.22,0.018,14.822,10.823,29.54,246.99,334.75,47812,14822,27109,5881,103
2.5,45.0,0.5,3.0,3.8882,1.36,30.56,12.3,0.66,0.017,14.611,10.7228,30.1,245.82,335.69,47812,14611,27320,5881,314
1.0,45.0,1.0,3.0,3.9494,1.37,30.79,12.3,0.43,0.017,14.719,10.7696,29.75,245.69,340.93,47812,14719,27212,5881,206
1.5,10.0,0.5,4.0,3.2593,1.33,27.34,2.2,3.88,0.016,13.072,9.8127,29.8,244.56,310.57,47812,13072,33687,1053,1853
2.0,20.0,1.0,3.5,3.776,1.35,30.5,7.45,0.71,0.017,14.585,10.809,29.99,244.04,341.17,47812,14585,29663,3564,340
1.5,60.0,1.0,3.0,3.9726,1.37,30.95,12.3,0.26,0.018,14.8,10.8274,29.41,242.57,332.51,47812,14800,27131,5881,125
2.5,30.0,0.5,3.0,3.8249,1.36,30.08,12.3,1.13,0.017,14.383,10.5581,30.2,242.21,334.97,47812,14383,27548,5881,542
1.5,20.0,1.0,3.5,3.8272,1.36,30.36,7.45,0.85,0.017,14.518,10.6908,30.35,241.55,344.6,47812,14518,29730,3564,407
1.0,60.0,1.0,3.0,3.945,1.36,30.91,12.3,0.31,0.018,14.777,10.832,29.36,240.88,330.16,47812,14777,27154,5881,148
2.5,60.0,0.5,3.0,3.8938,1.36,30.78,12.3,0.44,0.018,14.717,10.8232,29.86,238.01,325.85,47812,14717,27214,5881,208
2.5,20.0,0.5,3.0,3.6451,1.35,29.48,12.3,1.74,0.017,14.093,10.4479,29.4,235.77,321.35,47812,14093,27838,5881,832
2.5,10.0,1.0,3.0,3.806,1.36,30.04,12.3,1.17,0.018,14.365,10.559,29.74,235.18,324.74,47812,14365,27566,5881,560
2.0,60.0,0.5,3.0,3.8322,1.35,30.66,12.3,0.55,0.018,14.661,10.8288,29.66,233.77,320.64,47812,14661,27270,5881,264
2.0,15.0,0.5,4.0,3.4103,1.33,28.61,2.2,2.6,0.016,13.68,10.2697,29.59,233.33,319.21,47812,13680,33079,1053,1245
1.0,20.0,1.0,3.5,3.7768,1.35,30.28,7.45,0.94,0.017,14.476,10.6992,30.0,233.23,329.62,47812,14476,29772,3564,449
2.0,45.0,0.5,3.0,3.7903,1.35,30.37,12.3,0.84,0.017,14.522,10.7317,29.67,232.87,327.09,47812,14522,27409,5881,403
2.0,10.0,1.0,3.5,3.644,1.34,29.86,7.45,1.35,0.017,14.279,10.635,29.59,231.19,325.24,47812,14279,29969,3564,646
1.5,15.0,1.0,4.0,3.5284,1.32,30.12,2.2,1.1,0.017,14.401,10.8726,29.79,229.22,318.65,47812,14401,32358,1053,524
2.0,30.0,0.5,3.0,3.6896,1.35,29.83,12.3,1.39,0.017,14.26,10.5704,29.45,229.04,322.71,47812,14260,27671,5881,665
2.0,10.0,0.5,3.0,3.4135,1.35,27.7,12.3,3.52,0.016,13.244,9.8305,29.83,228.31,321.27,47812,13244,28687,5881,1681
1.0,20.0,0.5,3.5,3.506,1.34,28.61,7.45,2.6,0.017,13.68,10.174,29.6,227.32,316.42,47812,13680,30568,3564,1245
1.5,60.0,0.5,3.0,3.753,1.35,30.51,12.3,0.7,0.018,14.589,10.836,29.49,226.63,313.91,47812,14589,27342,5881,336
1.5,10.0,1.0,4.0,3.379,1.31,29.68,2.2,1.54,0.016,14.189,10.81,28.75,224.59,320.0,47812,14189,32570,1053,736
1.5,45.0,0.5,3.0,3.7078,1.35,30.22,12.3,1.0,0.017,14.447,10.7392,29.42,223.83,319.84,47812,14447,27484,5881,478
1.0,15.0,1.0,4.0,3.4564,1.32,29.99,2.2,1.22,0.017,14.341,10.8846,29.18,220.99,312.03,47812,14341,32418,1053,584
1.5,20.0,0.5,4.0,3.3924,1.33,28.87,2.2,2.34,0.017,13.805,10.4126,28.93,218.16,306.15,47812,13805,32954,1053,1120
1.0,60.0,0.5,3.0,3.6793,1.34,30.37,12.3,0.84,0.018,14.522,10.8427,29.01,216.01,307.63,47812,14522,27409,5881,403
2.0,20.0,0.5,4.0,3.3534,1.32,29.17,2.2,2.04,0.017,13.949,10.5956,28.45,215.94,302.63,47812,13949,32810,1053,976
1.5,30.0,0.5,3.0,3.5741,1.34,29.61,12.3,1.61,0.017,14.155,10.5809,28.67,215.55,312.27,47812,14155,27776,5881,770
2.5,15.0,0.5,3.0,3.4644,1.33,28.95,12.3,2.27,0.017,13.842,10.3776,28.73,214.73,305.34,47812,13842,28089,5881,1083
1.0,45.0,0.5,3.0,3.5868,1.33,29.99,12.3,1.23,0.017,14.337,10.7502,28.78,213.92,309.22,47812,14337,27594,5881,588
2.5,30.0,0.5,3.5,3.5932,1.33,30.08,7.45,1.13,0.018,14.383,10.7898,28.95,213.09,305.13,47812,14383,29865,3564,542
2.5,20.0,1.0,3.5,3.603,1.33,30.61,7.45,0.61,0.018,14.635,11.032,28.46,209.25,296.03,47812,14635,29613,3564,290
2.5,30.0,1.0,3.5,3.6278,1.33,30.81,7.45,0.4,0.019,14.733,11.1052,28.19,202.74,291.81,47812,14733,29515,3564,192
2.5,15.0,1.0,3.5,3.5514,1.32,30.41,7.45,0.81,0.018,14.539,10.9876,28.41,202.55,301.46,47812,14539,29709,3564,386
2.5,20.0,0.5,3.5,3.4134,1.32,29.48,7.45,1.74,0.017,14.093,10.6796,28.02,202.01,299.09,47812,14093,30155,3564,832
2.0,30.0,0.5,3.5,3.4579,1.32,29.83,7.45,1.39,0.018,14.26,10.8021,28.12,199.37,293.5,47812,14260,29988,3564,665
2.0,30.0,1.0,3.5,3.5726,1.32,30.72,7.45,0.5,0.019,14.687,11.1144,28.09,197.59,287.31,47812,14687,29561,3564,238
1.0,20.0,0.5,4.0,3.2549,1.31,28.61,2.2,2.6,0.017,13.68,10.4251,28.08,197.58,293.67,47812,13680,33079,1053,1245
1.0,30.0,0.5,3.0,3.4465,1.33,29.36,12.3,1.85,0.017,14.039,10.5925,28.03,197.35,300.76,47812,14039,27892,5881,886
2.0,10.0,0.5,3.5,3.1818,1.32,27.7,7.45,3.52,0.016,13.244,10.0622,28.24,196.32,297.52,47812,13244,31004,3564,1681
2.0,15.0,1.0,4.0,3.3782,1.3,30.28,2.2,0.94,0.017,14.476,11.0978,28.45,192.64,294.43,47812,14476,32283,1053,449
1.5,30.0,1.0,3.5,3.527,1.32,30.64,7.45,0.58,0.019,14.649,11.122,27.81,190.38,283.59,47812,14649,29599,3564,276
2.5,10.0,0.5,2.5,3.2076,1.31,28.12,16.02,3.09,0.018,13.447,10.2394,27.6,189.85,268.96,47812,13447,26707,7658,1478
2.5,30.0,0.5,4.0,3.3421,1.3,30.08,2.2,1.13,0.018,14.383,11.0409,27.66,186.97,275.9,47812,14383,32376,1053,542
1.0,30.0,1.0,3.5,3.485,1.31,30.57,7.45,0.65,0.019,14.614,11.129,27.61,185.79,280.17,47812,14614,29634,3564,311
1.5,20.0,1.0,4.0,3.325,1.3,30.36,2.2,0.85,0.017,14.518,11.193,27.89,184.68,288.66,47812,14518,32241,1053,407
1.5,30.0,0.5,3.5,3.3424,1.31,29.61,7.45,1.61,0.018,14.155,10.8126,27.27,183.78,283.58,47812,14155,30093,3564,770
2.5,15.0,0.5,3.5,3.2327,1.3,28.95,7.45,2.27,0.017,13.842,10.6093,27.23,180.62,280.4,47812,13842,30406,3564,1083
2.0,20.0,1.0,4.0,3.2738,1.29,30.5,2.2,0.71,0.018,14.585,11.3112,27.48,180.28,279.38,47812,14585,32174,1053,340
2.5,45.0,0.5,3.5,3.37,1.3,30.56,7.45,0.66,0.019,14.611,11.241,27.01,176.57,266.79,47812,14611,29637,3564,314
2.5,10.0,1.0,3.5,3.3426,1.3,30.04,7.45,1.17,0.018,14.365,11.0224,27.22,176.08,272.46,47812,14365,29883,3564,560
1.0,20.0,1.0,4.0,3.2746,1.29,30.28,2.2,0.94,0.018,14.476,11.2014,27.47,174.63,278.87,47812,14476,32283,1053,449
2.0,30.0,0.5,4.0,3.2068,1.29,29.83,2.2,1.39,0.018,14.26,11.0532,26.7,173.06,264.6,47812,14260,32499,1053,665
2.0,10.0,1.0,4.0,3.1418,1.28,29.86,2.2,1.35,0.017,14.279,11.1372,26.74,172.3,273.48,47812,14279,32480,1053,646
2.5,20.0,0.5,4.0,3.1623,1.29,29.48,2.2,1.74,0.018,14.093,10.9307,26.51,172.19,269.66,47812,14093,32666,1053,832
2.5,45.0,1.0,3.5,3.3958,1.3,30.96,7.45,0.26,0.02,14.803,11.4072,26.39,169.43,258.12,47812,14803,29445,3564,122
2.0,45.0,1.0,3.5,3.3646,1.29,30.91,7.45,0.31,0.02,14.777,11.4124,26.27,167.87,255.72,47812,14777,29471,3564,148
2.0,10.0,0.5,4.0,2.9307,1.28,27.7,2.2,3.52,0.016,13.244,10.3133,26.47,166.78,272.51,47812,13244,33515,1053,1681
2.0,45.0,0.5,3.5,3.2721,1.29,30.37,7.45,0.84,0.019,14.522,11.2499,26.46,166.7,252.26,47812,14522,29726,3564,403
1.0,30.0,0.5,3.5,3.2148,1.3,29.36,7.45,1.85,0.018,14.039,10.8242,26.55,165.91,272.62,47812,14039,30209,3564,886
1.5,45.0,1.0,3.5,3.3358,1.29,30.86,7.45,0.36,0.02,14.753,11.4172,26.22,164.55,252.08,47812,14753,29495,3564,172
2.5,10.0,0.5,3.0,3.0299,1.29,28.12,12.3,3.09,0.019,13.447,10.4171,26.27,161.53,245.76,47812,13447,28484,5881,1478
1.0,45.0,1.0,3.5,3.295,1.29,30.79,7.45,0.43,0.02,14.719,11.424,26.12,159.88,248.95,47812,14719,29529,3564,206
1.5,45.0,0.5,3.5,3.1896,1.28,30.22,7.45,1.0,0.019,14.447,11.2574,26.07,158.14,245.82,47812,14447,29801,3564,478
1.5,30.0,0.5,4.0,3.0913,1.28,29.61,2.2,1.61,0.018,14.155,11.0637,25.76,156.39,254.97,47812,14155,32604,1053,770
2.5,20.0,1.0,4.0,3.1008,1.27,30.61,2.2,0.61,0.019,14.635,11.5342,25.86,152.06,241.35,47812,14635,32124,1053,290
2.5,15.0,0.5,4.0,2.9816,1.27,28.95,2.2,2.27,0.018,13.842,10.8604,25.58,151.26,251.26,47812,13842,32917,1053,1083
2.5,60.0,1.0,3.5,3.2548,1.28,31.07,7.45,0.15,0.021,14.853,11.5982,25.41,149.73,229.04,47812,14853,29395,3564,72
2.5,30.0,1.0,4.0,3.1256,1.27,30.81,2.2,0.4,0.02,14.733,11.6074,25.7,149.15,238.43,47812,14733,32026,1053,192
2.5,60.0,0.5,3.5,3.1851,1.28,30.78,7.45,0.44,0.021,14.717,11.5319,25.65,148.29,224.11,47812,14717,29531,3564,208
1.0,45.0,0.5,3.5,3.0686,1.27,29.99,7.45,1.23,0.019,14.337,11.2684,25.29,148.19,236.38,47812,14337,29911,3564,588
2.0,60.0,1.0,3.5,3.2176,1.28,31.0,7.45,0.22,0.021,14.822,11.6044,25.29,148.02,226.39,47812,14822,29426,3564,103
2.5,15.0,1.0,4.0,3.0492,1.27,30.41,2.2,0.81,0.019,14.539,11.4898,25.68,146.8,244.79,47812,14539,32220,1053,386
2.0,60.0,0.5,3.5,3.1235,1.27,30.66,7.45,0.55,0.021,14.661,11.5375,25.31,144.41,219.73,47812,14661,29587,3564,264
1.5,60.0,1.0,3.5,3.1912,1.27,30.95,7.45,0.26,0.021,14.8,11.6088,25.11,144.29,224.52,47812,14800,29448,3564,125
2.0,30.0,1.0,4.0,3.0704,1.26,30.72,2.2,0.5,0.02,14.687,11.6166,25.51,144.23,234.17,47812,14687,32072,1053,238
1.0,60.0,1.0,3.5,3.1636,1.27,30.91,7.45,0.31,0.021,14.777,11.6134,24.98,143.04,222.55,47812,14777,29471,3564,148
2.5,45.0,0.5,4.0,2.9953,1.26,30.56,2.2,0.66,0.02,14.611,11.6157,24.78,139.53,228.45,47812,14611,32148,1053,314
1.0,30.0,0.5,4.0,2.9637,1.27,29.36,2.2,1.85,0.018,14.039,11.0753,24.95,139.37,244.32,47812,14039,32720,1053,886
1.5,60.0,0.5,3.5,3.0443,1.26,30.51,7.45,0.7,0.021,14.589,11.5447,24.98,138.78,214.09,47812,14589,29659,3564,336
1.5,30.0,1.0,4.0,3.0248,1.26,30.64,2.2,0.58,0.02,14.649,11.6242,25.13,137.73,230.65,47812,14649,32110,1053,276
2.5,10.0,0.5,3.5,2.7982,1.26,28.12,7.45,3.09,0.019,13.447,10.6488,24.58,133.87,217.52,47812,13447,30801,3564,1478
1.0,30.0,1.0,4.0,2.9828,1.26,30.57,2.2,0.65,0.02,14.614,11.6312,24.89,133.67,227.42,47812,14614,32145,1053,311
1.0,60.0,0.5,3.5,2.9706,1.26,30.37,7.45,0.84,0.021,14.522,11.5514,24.38,131.97,208.83,47812,14522,29726,3564,403
2.0,45.0,0.5,4.0,2.8974,1.25,30.37,2.2,0.84,0.021,14.522,11.6246,24.12,131.43,211.32,47812,14522,32237,1053,403
