symbol,status,is_active,base_coin,quote_coin,settle_coin,display_name_en,maker_fee_rate,maker_fee_pct,taker_fee_rate,taker_fee_pct,is_zero_fee,min_contracts,contract_size,min_underlying_qty,min_notional_usdt,min_margin_usdt,max_contracts,max_underlying_qty,vol_unit_step,vol_precision_scale,tick_size,price_precision_scale,amount_precision_scale,start_date_utc,start_date_ist,start_timestamp_ms,age_days,age_readable,max_leverage,min_leverage,maintenance_margin_rate,maintenance_margin_pct,initial_margin_rate,initial_margin_pct,current_price,fair_price,index_price,funding_rate,funding_rate_pct,price_change_24h_pct,high_24h,low_24h,volume_24h_contracts,turnover_24h_usdt,open_interest_contracts,open_interest_usdt,is_hot,is_new,api_allowed,tags_concept_plate,oracle_sources,depth_step_aggregations
4STOCK_USDT,ACTIVE,True,4STOCK,USDT,USDT,4STOCK USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,0.839,0.03356,170.0,17000.0,1.0,0,1e-05,5,2,2026-09-08 06:11:57 UTC,2026-09-08 11:41:57 IST,1788847917000,9,9d,25,1,0.02,2.00%,0.04,4.00%,0.00839,0.00841,0.00838,5e-05,0.0050%,-34.55%,0.01342,0.0078,285085.0,322441.363,39178.0,32870.34,False,False,True,common_section_meme,MEXC; LBANK; MEXC_FUTURE; KUCOIN,0.00001; 0.0001; 0.001; 0.01
AIXBT_USDT,ACTIVE,True,AIXBT,USDT,USDT,AIXBTUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.1955,0.00391,111440.0,1114400.0,1.0,0,1e-05,5,2,2024-12-05 06:24:10 UTC,2024-12-05 11:54:10 IST,1733379850000,651,1y 286d,50,1,0.015,1.50%,0.02,2.00%,0.01955,0.01955,0.01956,5e-05,0.0050%,0.10%,0.01971,0.01847,1601153.0,307714.6748,3530658.0,690243.64,False,False,True,common_section_aiagent; common_section_base,BINANCE; MEXC; GATEIO; OKX,0.00001; 0.0001; 0.001; 0.01
DOGS_USDT,ACTIVE,True,DOGS,USDT,USDT,DOGSUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,1000.0,1000.0,0.04578,0.000916,1948050.0,1948050000.0,1.0,0,1e-08,8,2,2024-08-26 12:14:37 UTC,2024-08-26 17:44:37 IST,1724674477000,752,2y 22d,50,1,0.005,0.50%,0.02,2.00%,4.578e-05,4.578e-05,4.581e-05,5e-05,0.0050%,-0.36%,4.643e-05,4.38e-05,6226135.0,281208.26789,7279134.0,333238.75,False,False,True,common_section_TON,BINANCE; GATEIO; OKX; KUCOIN; BYBIT; BITGET,0.00000001; 0.0000001; 0.000001; 0.00001
CASHCAT1_USDT,ACTIVE,True,CASHCAT1,USDT,USDT,CASHCAT1 USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,1.9752,0.079008,23390.0,233900.0,1.0,0,1e-05,5,2,2026-07-09 07:13:37 UTC,2026-07-09 12:43:37 IST,1783581217000,70,2m 10d,25,1,0.02,2.00%,0.04,4.00%,0.19752,0.19773,0.19773,5e-05,0.0050%,-2.43%,0.21289,0.15585,146455.0,279768.921,285652.0,564219.83,False,False,True,common_section_meme; common_section_robinhood,LBANK; MEXC_FUTURE; MEXC,0.00001; 0.0001; 0.001; 0.01
PIPPIN_USDT,ACTIVE,True,PIPPIN,USDT,USDT,PIPPINUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.1771,0.007084,242700.0,2427000.0,1.0,0,1e-05,5,2,2025-01-10 02:10:50 UTC,2025-01-10 07:40:50 IST,1736475050000,615,1y 250d,25,1,0.01,1.00%,0.04,4.00%,0.01771,0.01771,0.01771,0.000129,0.0129%,0.62%,0.01774,0.01643,1580463.0,272286.7459,8019920.0,1420327.83,False,False,True,common_section_meme; common_section_solana,BINANCE_FUTURE; GATEIO; MEXC; OKX_FUTURE; HUOBI,0.00001; 0.0001; 0.001; 0.01
BATON_USDT,ACTIVE,True,BATON,USDT,USDT,BATON USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,0.3029,0.012116,390.0,39000.0,1.0,0,1e-06,6,2,2026-09-15 06:46:20 UTC,2026-09-15 12:16:20 IST,1789454780000,2,2d,25,1,0.02,2.00%,0.04,4.00%,0.003029,0.003033,0.002985,0.0002,0.0200%,-13.67%,0.005619,0.002723,601081.0,243010.9601,62601.0,18961.84,False,True,True,kcex-trade-zone-contract-new; common_section_meme; common_section_solana,LBANK; MEXC; MEXC_FUTURE,0.000001; 0.00001; 0.0001; 0.001
NIULAI_USDT,ACTIVE,True,NIULAI,USDT,USDT,NIULAI USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,10.632,0.42528,1800.0,180000.0,1.0,0,1e-05,5,2,2026-08-16 05:04:14 UTC,2026-08-16 10:34:14 IST,1786856654000,32,1m 2d,25,1,0.02,2.00%,0.04,4.00%,0.10632,0.10626,0.10624,5e-05,0.0050%,-4.48%,0.11586,0.09393,22181.0,237632.421,70662.0,751278.38,False,False,True,common_section_meme; common_section_bscchinesememe,BINANCE; BINANCE_FUTURE; GATEIO; MEXC,0.00001; 0.0001; 0.001; 0.01
SHROOM_USDT,ACTIVE,True,SHROOM,USDT,USDT,SHROOM USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,1.239,0.04956,460.0,46000.0,1.0,0,1e-05,5,2,2026-09-06 06:40:05 UTC,2026-09-06 12:10:05 IST,1788676805000,11,11d,25,1,0.02,2.00%,0.04,4.00%,0.01239,0.01244,0.01245,-0.000127,-0.0127%,-3.65%,0.01509,0.00715,207652.0,219431.702,54314.0,67295.05,False,False,True,common_section_meme; common_section_robinhood,MEXC; LBANK; MEXC_FUTURE; GATEIO_FUTURE,0.00001; 0.0001; 0.001; 0.01
B_USDT,ACTIVE,True,B,USDT,USDT,B USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,18.15,0.726,3340.0,334000.0,1.0,0,0.0001,4,2,2025-05-21 12:08:00 UTC,2025-05-21 17:38:00 IST,1747829280000,484,1y 119d,25,1,0.0067,0.67%,0.04,4.00%,0.1815,0.1815,0.1813,5e-05,0.0050%,-1.03%,0.1923,0.1814,11192.0,209472.25,11858.0,215222.7,False,False,True,common_section_meme,BINANCE_FUTURE; LBANK; GATEIO; MEXC; BITGET,0.0001; 0.001; 0.01; 0.1
CHILLGUY_USDT,ACTIVE,True,CHILLGUY,USDT,USDT,CHILLGUYUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.12263,0.004905,120700.0,1207000.0,1.0,0,1e-06,6,2,2024-11-21 11:18:45 UTC,2024-11-21 16:48:45 IST,1732187925000,665,1y 300d,25,1,0.0067,0.67%,0.04,4.00%,0.012263,0.012259,0.012248,5e-05,0.0050%,1.48%,0.012561,0.011185,1712094.0,205621.64897,4086210.0,501091.93,False,False,True,common_section_meme; common_section_solana,BINANCE_FUTURE; MEXC; GATEIO; BYBIT; BITGET,0.000001; 0.00001; 0.0001; 0.001
