symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
CYBERUSDT,futures/um,ACTIVE_PERPETUAL,2023-08,2026-08,37,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2024-04,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08
CYSUSDT,futures/um,ACTIVE_PERPETUAL,2025-12,2026-08,9,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-12 to 2026-08,2025-12 to 2026-08,2025-12 to 2026-08,N/A,2025-12 to 2026-08,2025-12 to 2026-08,2025-12 to 2026-08,2025-12 to 2026-08
DAMUSDT,futures/um,DELISTED_HISTORICAL,2025-08,2026-04,9,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-08 to 2026-04,2025-08 to 2026-04,2025-08 to 2026-04,N/A,2025-08 to 2026-04,2025-08 to 2026-04,2025-08 to 2026-04,2025-08 to 2026-04
DARUSDT,futures/um,DELISTED_HISTORICAL,2022-04,2024-12,33,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-04 to 2024-12,2022-04 to 2024-12,2022-04 to 2024-12,2023-05 to 2024-04,2022-04 to 2024-12,2022-04 to 2024-12,2022-04 to 2024-12,2022-04 to 2024-12
DASHUSDT,futures/um,ACTIVE_PERPETUAL,2020-02,2026-08,79,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2023-05 to 2024-04,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08
DATAIPUSDC,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
DATAIPUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
DEEPUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
DEFIUSDT,futures/um,DELISTED_HISTORICAL,2020-08,2025-08,61,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-08 to 2025-08,2020-08 to 2025-08,2020-08 to 2025-08,2023-05 to 2024-04,2020-08 to 2025-08,2020-08 to 2025-08,2020-08 to 2025-08,2020-08 to 2025-08
DEGENUSDT,futures/um,DELISTED_HISTORICAL,2024-11,2026-04,18,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-04,2024-11 to 2026-04,2024-11 to 2026-04,N/A,2024-11 to 2026-04,2024-11 to 2026-04,2024-11 to 2026-04,2024-11 to 2026-04
