symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
INTWUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
INUSDT,futures/um,ACTIVE_PERPETUAL,2025-08,2026-08,13,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,N/A,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08
INXUSDT,futures/um,ACTIVE_PERPETUAL,2026-01,2026-08,8,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,N/A,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08
IONQUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
IOSTUSDT,futures/um,ACTIVE_PERPETUAL,2020-02,2026-08,79,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2023-05 to 2024-04,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08
IOTAUSDT,futures/um,ACTIVE_PERPETUAL,2020-02,2026-08,79,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2023-05 to 2024-04,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08
IOTXUSDT,futures/um,ACTIVE_PERPETUAL,2021-08,2026-08,61,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-08 to 2026-08,2021-08 to 2026-08,2021-08 to 2026-08,2023-05 to 2024-04,2021-08 to 2026-08,2021-08 to 2026-08,2021-08 to 2026-08,2021-08 to 2026-08
IOUSDT,futures/um,ACTIVE_PERPETUAL,2024-06,2026-08,27,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-06 to 2026-08,2024-06 to 2026-08,2024-06 to 2026-08,N/A,2024-06 to 2026-08,2024-06 to 2026-08,2024-06 to 2026-08,2024-06 to 2026-08
IPUSDC,futures/um,DELISTED_HISTORICAL,2025-03,2026-06,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-03 to 2026-06,2025-03 to 2026-06,2025-03 to 2026-06,N/A,2025-03 to 2026-06,2025-03 to 2026-06,2025-03 to 2026-06,2025-03 to 2026-06
IPUSDT,futures/um,DELISTED_HISTORICAL,2025-02,2026-06,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-02 to 2026-06,2025-02 to 2026-06,2025-02 to 2026-06,N/A,2025-02 to 2026-06,2025-02 to 2026-06,2025-02 to 2026-06,2025-02 to 2026-06
IRENUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
IRUSDT,futures/um,DELISTED_HISTORICAL,2025-12,2026-04,5,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-12 to 2026-04,2025-12 to 2026-04,2025-12 to 2026-04,N/A,2025-12 to 2026-04,2025-12 to 2026-04,2025-12 to 2026-04,2025-12 to 2026-04
IRYSUSDT,futures/um,ACTIVE_PERPETUAL,2025-11,2026-08,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,N/A,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08
IWMUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
JASMYUSDT,futures/um,ACTIVE_PERPETUAL,2022-04,2026-08,53,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-04 to 2026-08,2022-04 to 2026-08,2022-04 to 2026-08,2023-05 to 2024-04,2022-04 to 2026-08,2022-04 to 2026-08,2022-04 to 2026-08,2022-04 to 2026-08
JCTUSDT,futures/um,ACTIVE_PERPETUAL,2025-11,2026-08,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,N/A,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08
JELLYJELLYUSDT,futures/um,ACTIVE_PERPETUAL,2025-03,2026-08,18,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,N/A,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08
JOEUSDT,futures/um,ACTIVE_PERPETUAL,2023-03,2026-08,42,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08,2023-05 to 2024-04,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08
JPMUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
JSTUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
JTOUSDT,futures/um,ACTIVE_PERPETUAL,2023-12,2026-08,33,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2024-04,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08
JUPUSDT,futures/um,ACTIVE_PERPETUAL,2024-01,2026-08,32,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2024-04,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08
KAIAUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
KAITOUSDC,futures/um,ACTIVE_PERPETUAL,2025-03,2026-08,18,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,N/A,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08
KAITOUSDT,futures/um,ACTIVE_PERPETUAL,2025-02,2026-08,19,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08,N/A,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08
KASUSDT,futures/um,ACTIVE_PERPETUAL,2023-11,2026-08,34,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2024-04,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08
KATUSDT,futures/um,ACTIVE_PERPETUAL,2026-03,2026-08,6,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-03 to 2026-08,2026-03 to 2026-08,2026-03 to 2026-08,N/A,2026-03 to 2026-08,2026-03 to 2026-08,2026-03 to 2026-08,2026-03 to 2026-08
KAVAUSDT,futures/um,ACTIVE_PERPETUAL,2020-07,2026-08,74,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08,2023-05 to 2024-04,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08
KDAUSDT,futures/um,DELISTED_HISTORICAL,2024-09,2025-12,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-09 to 2025-12,2024-09 to 2025-12,2024-09 to 2025-12,N/A,2024-09 to 2025-12,2024-09 to 2025-12,2024-09 to 2025-12,2024-09 to 2025-12
KEEPUSDT,futures/um,DELISTED_HISTORICAL,2021-06,2022-02,9,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-06 to 2022-02,2021-06 to 2022-02,2021-06 to 2022-02,N/A,2021-06 to 2022-02,2021-06 to 2022-02,2021-06 to 2022-02,2021-06 to 2022-02
KERNELUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
KEYUSDT,futures/um,DELISTED_HISTORICAL,2023-05,2024-12,20,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-05 to 2024-12,2023-05 to 2024-12,2023-05 to 2024-12,2023-05 to 2024-04,2023-05 to 2024-12,2023-05 to 2024-12,2023-05 to 2024-12,2023-05 to 2024-12
KGENUSDT,futures/um,ACTIVE_PERPETUAL,2025-10,2026-08,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,N/A,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08
KITEUSDT,futures/um,ACTIVE_PERPETUAL,2025-10,2026-08,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,N/A,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08
KLACUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
KLAYUSDT,futures/um,DELISTED_HISTORICAL,2021-10,2024-10,37,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-10 to 2024-10,2021-10 to 2024-10,2021-10 to 2024-10,2023-05 to 2024-04,2021-10 to 2024-10,2021-10 to 2024-10,2021-10 to 2024-10,2021-10 to 2024-10
KMNOUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
KNCUSDT,futures/um,ACTIVE_PERPETUAL,2020-06,2026-08,75,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-06 to 2026-08,2020-06 to 2026-08,2020-06 to 2026-08,2023-05 to 2024-04,2020-06 to 2026-08,2020-06 to 2026-08,2020-06 to 2026-08,2020-06 to 2026-08
KODEX200USDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
KOMAUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
KORUUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
KOUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
KSMUSDT,futures/um,ACTIVE_PERPETUAL,2020-10,2026-08,71,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-10 to 2026-08,2020-10 to 2026-08,2020-10 to 2026-08,2023-05 to 2024-04,2020-10 to 2026-08,2020-10 to 2026-08,2020-10 to 2026-08,2020-10 to 2026-08
KSTRUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
KUAISHOUUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
LABUSDT,futures/um,ACTIVE_PERPETUAL,2025-10,2026-08,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,N/A,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08
LAUSDT,futures/um,ACTIVE_PERPETUAL,2025-06,2026-08,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,N/A,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08
LAYERUSDT,futures/um,ACTIVE_PERPETUAL,2025-02,2026-08,19,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08,N/A,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08
LDOBUSD,futures/um,DELISTED_BUSD,2022-07,2023-07,13,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-07 to 2023-07,2022-07 to 2023-07,2022-07 to 2023-07,2023-05 to 2023-07,2022-07 to 2023-07,2022-07 to 2023-07,2022-07 to 2023-07,2022-07 to 2023-07
LDOUSDT,futures/um,ACTIVE_PERPETUAL,2022-09,2026-08,48,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08,2023-05 to 2024-04,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08
LENDUSDT,futures/um,DELISTED_HISTORICAL,2020-07,2020-10,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-07 to 2020-10,2020-07 to 2020-10,2020-07 to 2020-10,N/A,2020-07 to 2020-10,2020-07 to 2020-10,2020-07 to 2020-10,2020-07 to 2020-10
LEVERBUSD,futures/um,DELISTED_BUSD,2022-07,2023-04,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-07 to 2023-04,2022-07 to 2023-04,2022-07 to 2023-04,N/A,2022-07 to 2023-04,2022-07 to 2023-04,2022-07 to 2023-04,2022-07 to 2023-04
LEVERUSDT,futures/um,DELISTED_HISTORICAL,2023-03,2025-09,31,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-03 to 2025-09,2023-03 to 2025-09,2023-03 to 2025-09,2023-05 to 2024-04,2023-03 to 2025-09,2023-03 to 2025-09,2023-03 to 2025-09,2023-03 to 2025-09
LGELECTRONICSUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
LIGHTUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
LINAUSDT,futures/um,DELISTED_HISTORICAL,2021-03,2025-03,49,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-03 to 2025-03,2021-03 to 2025-03,2021-03 to 2025-03,2023-05 to 2024-04,2021-03 to 2025-03,2021-03 to 2025-03,2021-03 to 2025-03,2021-03 to 2025-03
LINEAUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
LINKBUSD,futures/um,DELISTED_BUSD,2022-06,2023-05,12,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-06 to 2023-05,2022-06 to 2023-05,2022-06 to 2023-05,2023-05 to 2023-05,2022-06 to 2023-05,2022-06 to 2023-05,2022-06 to 2023-05,2022-06 to 2023-05
LINKUSDC,futures/um,ACTIVE_PERPETUAL,2024-02,2026-08,31,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2024-04,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08
LINKUSDT,futures/um,ACTIVE_PERPETUAL,2020-01,2026-08,80,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08,2023-05 to 2024-04,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08
LISTAUSDT,futures/um,ACTIVE_PERPETUAL,2024-06,2026-08,27,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-06 to 2026-08,2024-06 to 2026-08,2024-06 to 2026-08,N/A,2024-06 to 2026-08,2024-06 to 2026-08,2024-06 to 2026-08,2024-06 to 2026-08
LITEUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
LITUSDT,futures/um,ACTIVE_PERPETUAL,2021-02,2026-08,57,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-02 to 2026-08,2021-02 to 2026-08,2021-02 to 2026-08,2023-05 to 2024-04,2021-02 to 2026-08,2021-02 to 2026-08,2021-02 to 2026-08,2021-02 to 2026-08
LITUSDTSETTLED,futures/um,SETTLED,2025-12,2025-12,1,1,klines,N/A,N/A,2025-12 to 2025-12,N/A,N/A,N/A,N/A,N/A
LLYUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
LOKAUSDT,futures/um,DELISTED_HISTORICAL,2024-09,2025-07,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-09 to 2025-07,2024-09 to 2025-07,2024-09 to 2025-07,N/A,2024-09 to 2025-07,2024-09 to 2025-07,2024-09 to 2025-07,2024-09 to 2025-07
LOOMUSDT,futures/um,DELISTED_HISTORICAL,2023-10,2024-12,15,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-10 to 2024-12,2023-10 to 2024-12,2023-10 to 2024-12,2023-10 to 2024-04,2023-10 to 2024-12,2023-10 to 2024-12,2023-10 to 2024-12,2023-10 to 2024-12
LPTUSDT,futures/um,ACTIVE_PERPETUAL,2021-11,2026-08,58,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-11 to 2026-08,2021-11 to 2026-08,2021-11 to 2026-08,2023-05 to 2024-04,2021-11 to 2026-08,2021-11 to 2026-08,2021-11 to 2026-08,2021-11 to 2026-08
LQTYUSDT,futures/um,ACTIVE_PERPETUAL,2023-03,2026-08,42,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08,2023-05 to 2024-04,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08
LRCUSDT,futures/um,DELISTED_HISTORICAL,2020-10,2026-03,66,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-10 to 2026-03,2020-10 to 2026-03,2020-10 to 2026-03,2023-05 to 2024-04,2020-10 to 2026-03,2020-10 to 2026-03,2020-10 to 2026-03,2020-10 to 2026-03
LRCXUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
LSKUSDT,futures/um,ACTIVE_PERPETUAL,2024-01,2026-08,32,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2024-04,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08
LTCBUSD,futures/um,DELISTED_BUSD,2022-07,2023-08,14,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-07 to 2023-08,2022-07 to 2023-08,2022-07 to 2023-08,2023-05 to 2023-08,2022-07 to 2023-08,2022-07 to 2023-08,2022-07 to 2023-08,2022-07 to 2023-08
LTCUSDC,futures/um,ACTIVE_PERPETUAL,2024-04,2026-08,29,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08,N/A,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08
LTCUSDT,futures/um,ACTIVE_PERPETUAL,2020-01,2026-08,80,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08,2023-05 to 2024-04,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08
LUMIAUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
LUNA2BUSD,futures/um,DELISTED_BUSD,2022-06,2023-03,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-06 to 2023-03,2022-06 to 2023-03,2022-06 to 2023-03,N/A,2022-06 to 2023-03,2022-06 to 2023-03,2022-06 to 2023-03,2022-06 to 2023-03
