trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,position_size,position_notional_usd,committed_margin_usd,leverage,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
tr_e03c58731d,LONG,1786156320000,1786156560000,0.07679,0.07669,0.07694,0.07671,6.0269,0.4628,0.0231,20.0x,15,8,4,0.4134,SL_HIT,-0.1302252897512734,-0.1302252897512734,-2.604505795025468,-0.000603,0.230799
tr_a590eaf081,LONG,1787109960000,1787110080000,0.07096,0.07086,0.07112,0.07088,6.505,0.4616,0.0231,20.0x,16,8,2,0.4072,SL_HIT,-0.1409244644870389,-0.1409244644870389,-2.81848928974078,-0.000651,0.230149
tr_a6484b0d45,LONG,1787153280000,1787154180000,0.07318,0.07325,0.07367,0.07294,6.2899,0.4603,0.023,20.0x,49,24,15,0.4051,TIME_EXPIRY,0.0956545504235948,0.0956545504235948,1.9130910084718973,0.00044,0.230589
tr_c5c0c0cc96,LONG,1787314500000,1787314980000,0.08798,0.0875799999999999,0.08875,0.0876,5.2418,0.4612,0.0231,20.0x,77,38,8,0.4052,SL_HIT,-0.4546487838145163,-0.4546487838145163,-9.092975676290326,-0.002097,0.228492
tr_27a213fac2,LONG,1787315880000,1787316300000,0.08958,0.09075,0.09075,0.089,5.1014,0.457,0.0228,20.0x,117,58,7,0.4546,TP_HIT,1.3060951105157448,1.3060951105157448,26.121902210314897,0.005969,0.234461
tr_391320f8c1,LONG,1787324940000,1787325540000,0.09248,0.0934,0.0934,0.09202,5.0705,0.4689,0.0234,20.0x,92,46,10,0.4048,TP_HIT,0.9948096885813194,0.9948096885813194,19.896193771626383,0.004665,0.239126
tr_e50b7d5c95,LONG,1787365440000,1787365680000,0.09724,0.09863,0.09863,0.09654,4.9183,0.4783,0.0239,20.0x,139,70,4,0.4092,TP_HIT,1.4294529000411376,1.4294529000411376,28.58905800082276,0.006836,0.245962
tr_b18b0b606f,LONG,1787365920000,1787366040000,0.10032,0.09911,0.10271,0.09913,4.9035,0.4919,0.0246,20.0x,239,119,2,0.42,SL_HIT,-1.2061403508771955,-1.2061403508771955,-24.12280701754392,-0.005933,0.240029
tr_0967f998f1,LONG,1787369100000,1787369640000,0.10233,0.10406,0.10406,0.10146,4.6913,0.4801,0.024,20.0x,173,87,9,0.4303,TP_HIT,1.690608814619364,1.690608814619364,33.81217629238728,0.008116,0.248145
tr_facb023923,LONG,1787369820000,1787370540000,0.1041,0.10611,0.10611,0.10309,4.7674,0.4963,0.0248,20.0x,201,101,12,0.4044,TP_HIT,1.930835734870315,1.930835734870315,38.61671469740629,0.009583,0.257727
tr_d6553de481,LONG,1787370840000,1787371080000,0.10991,0.11377,0.11377,0.10798,4.6898,0.5155,0.0258,20.0x,386,193,4,0.4285,TP_HIT,3.5119643344554654,3.5119643344554654,70.2392866891093,0.018103,0.27583
tr_e7213eb200,LONG,1787371200000,1787371260000,0.11738,0.11501,0.12461,0.11503,4.6998,0.5517,0.0276,20.0x,723,235,1,0.5037,SL_HIT,-2.0190833191344444,-2.0190833191344444,-40.38166638268888,-0.011138,0.264691
tr_354ab68eb6,LONG,1787374260000,1787374260000,0.14345,0.14056,0.15351,0.1405799999999999,3.6904,0.5294,0.0265,20.0x,1006,287,0,0.402,SL_HIT,-2.0146392471244363,-2.0146392471244363,-40.29278494248872,-0.010665,0.254026
tr_32dbf8a0e1,LONG,1787375280000,1787375280000,0.1619799999999999,0.15872,0.17603,0.15874,3.1365,0.5081,0.0254,20.0x,1405,324,0,0.4552,SL_HIT,-2.012594147425599,-2.012594147425599,-40.25188294851198,-0.010225,0.243801
tr_84ee45ba89,LONG,1787782620000,1787783400000,0.11224,0.1116,0.11348,0.11162,4.3443,0.4876,0.0244,20.0x,124,62,13,0.4203,SL_HIT,-0.5702066999287256,-0.5702066999287256,-11.404133998574514,-0.00278,0.241021
tr_805de6ea92,LONG,1787785320000,1787785500000,0.11376,0.1133,0.11464,0.11332,4.2374,0.482,0.0241,20.0x,88,44,3,0.4138,SL_HIT,-0.4043600562587923,-0.4043600562587923,-8.087201125175845,-0.001949,0.239072
tr_68013b64c7,LONG,1787848020000,1787848320000,0.12284,0.12158,0.12533,0.1216,3.8924,0.4781,0.0239,20.0x,249,124,5,0.4016,SL_HIT,-1.0257245197004323,-1.0257245197004323,-20.514490394008643,-0.004904,0.234167
